Timestamp,Temp_C,pH,DO_ppm
15/02/2026 0:00,29.58,7.19,7.93
15/02/2026 0:03,28.74,7.58,9.27
15/02/2026 0:06,29.36,8.95,6.96
15/02/2026 0:09,29.9,8.61,7.01
15/02/2026 0:12,28.74,7.55,9.72
15/02/2026 0:15,28.54,7.77,7.77
15/02/2026 0:18,31.47,7.52,5.53
15/02/2026 0:21,30.97,7.86,6.11
15/02/2026 0:24,28.55,8.36,5.58
15/02/2026 0:27,29,8.25,7.02
15/02/2026 0:30,29.2,8.35,5.69
15/02/2026 0:33,30.58,7.81,5.47
15/02/2026 0:36,28.83,7.17,4.47
15/02/2026 0:39,28.66,8.15,6.43
15/02/2026 0:42,28.38,7.77,7.44
15/02/2026 0:45,30.28,7.85,6.17
15/02/2026 0:48,27.62,7.04,6.53
15/02/2026 0:51,29.7,7.93,8.9
15/02/2026 0:54,28.28,7.21,3.83
15/02/2026 0:57,29.36,8.01,7.63
15/02/2026 1:00,30.97,7.33,7.32
15/02/2026 1:03,30.77,7.07,5.09
15/02/2026 1:06,29.69,7.25,7.23
15/02/2026 1:09,28.71,7.72,5.93
15/02/2026 1:12,29.77,7.52,5.17
15/02/2026 1:15,29.54,7.91,6.98
15/02/2026 1:18,30.91,7.53,7.56
15/02/2026 1:21,28.05,8.17,5.05
15/02/2026 1:24,25.37,8.13,6.24
15/02/2026 1:27,28.93,7.8,6.32
15/02/2026 1:30,33.66,8.08,6.4
15/02/2026 1:33,29.21,7.78,4.34
15/02/2026 1:36,30.19,7.06,7.18
15/02/2026 1:39,30.25,7.13,4.16
15/02/2026 1:42,30.2,7.35,5.64
15/02/2026 1:45,29.71,8.37,6.69
15/02/2026 1:48,29.66,7.89,6.16
15/02/2026 1:51,28.87,7.62,6.48
15/02/2026 1:54,30.61,8.4,7.38
15/02/2026 1:57,29.28,7.1,6.85
15/02/2026 2:00,29.07,7.71,7.75
15/02/2026 2:03,30.39,7.32,7.56
15/02/2026 2:06,30.17,7.03,6.8
15/02/2026 2:09,28.96,7.06,3.69
15/02/2026 2:12,28.07,7.95,3.69
15/02/2026 2:15,28.03,6.91,6.88
15/02/2026 2:18,30.55,7.85,5.59
15/02/2026 2:21,28.45,8.33,7.41
15/02/2026 2:24,29.81,7.69,7.29
15/02/2026 2:27,29.77,8.27,5.86
15/02/2026 2:30,28.68,8.2,5.31
15/02/2026 2:33,29.34,7.7,6.07
15/02/2026 2:36,29.26,7.83,5.6
15/02/2026 2:39,29.51,7.52,7.67
15/02/2026 2:42,30.57,8.16,7.24
15/02/2026 2:45,30.75,7.89,6.4
15/02/2026 2:48,28.26,6.5,5.42
15/02/2026 2:51,29.29,8,5.24
15/02/2026 2:54,28.88,7.98,7.45
15/02/2026 2:57,30.36,7.47,5.66
15/02/2026 3:00,29.04,8.25,7.47
15/02/2026 3:03,29.46,8.08,6.37
15/02/2026 3:06,30.12,7.27,5.36
15/02/2026 3:09,29.91,7.94,7.96
15/02/2026 3:12,30.23,8.08,7.15
15/02/2026 3:15,29.29,7.4,5.33
15/02/2026 3:18,29.62,7.13,5.42
15/02/2026 3:21,28.82,7.01,6
15/02/2026 3:24,26.58,6.34,7.63
15/02/2026 3:27,30.33,8.11,6.22
15/02/2026 3:30,30.6,8.23,5.24
15/02/2026 3:33,28.91,8.09,7.01
15/02/2026 3:36,29.49,7.17,5.86
15/02/2026 3:39,28.31,7.96,5.99
15/02/2026 3:42,28.34,7.81,7.03
15/02/2026 3:45,28.43,8.26,5.93
15/02/2026 3:48,29.89,7.51,9.48
15/02/2026 3:51,30.36,7.01,5.11
15/02/2026 3:54,28.39,7.42,5.22
15/02/2026 3:57,30.99,8.29,5.14
15/02/2026 4:00,29.06,8.12,7.09
15/02/2026 4:03,30.68,7.77,6.73
15/02/2026 4:06,31,8.3,6.83
15/02/2026 4:09,30.52,7.29,5.41
15/02/2026 4:12,29.14,7.72,5.35
15/02/2026 4:15,28.07,7.06,4.16
15/02/2026 4:18,31.49,7.81,6.25
15/02/2026 4:21,29.52,8.36,7.57
15/02/2026 4:24,29.46,7.32,5.06
15/02/2026 4:27,28.01,7.68,6.6
15/02/2026 4:30,30.61,7.5,7.51
15/02/2026 4:33,28.44,8.26,3.76
15/02/2026 4:36,29.88,8.04,7.45
15/02/2026 4:39,28.79,7.72,6.06
15/02/2026 4:42,29.24,7.21,7.18
15/02/2026 4:45,29.41,6.54,7.37
15/02/2026 4:48,29.76,7.82,6.3
15/02/2026 4:51,29.56,7.55,7.79
15/02/2026 4:54,29.09,7.48,7.57
15/02/2026 4:57,28.12,7.38,9.56
15/02/2026 5:00,28.38,7.34,6.41
15/02/2026 5:03,29.87,7.93,5.31
15/02/2026 5:06,29.82,7.78,7.65
15/02/2026 5:09,30,7.45,6.38
15/02/2026 5:12,28.24,8.31,8.32
15/02/2026 5:15,28.75,7.33,5.7
15/02/2026 5:18,33.83,7.78,5.16
15/02/2026 5:21,28.7,8.53,6.48
15/02/2026 5:24,30.44,8.26,8.95
15/02/2026 5:27,30.28,7.87,6.16
15/02/2026 5:30,30.25,8.47,6.17
15/02/2026 5:33,30.92,8.49,7.95
15/02/2026 5:36,30.75,8.65,7.22
15/02/2026 5:39,29.93,7.11,7.66
15/02/2026 5:42,29.53,7.34,6.31
15/02/2026 5:45,30.45,7.5,5.73
15/02/2026 5:48,29.65,7.57,5.1
15/02/2026 5:51,30.3,6.84,7.9
15/02/2026 5:54,28.54,8.5,7.88
15/02/2026 5:57,29.54,7.4,4
15/02/2026 6:00,33.84,7.38,7.19
15/02/2026 6:03,29.45,8.23,5.04
15/02/2026 6:06,29.45,8.7,6.88
15/02/2026 6:09,29.56,6.67,5.2
15/02/2026 6:12,29.84,8.06,4.38
15/02/2026 6:15,29.82,7.76,7.46
15/02/2026 6:18,30.86,8.37,7.52
15/02/2026 6:21,28.66,7.1,6.98
15/02/2026 6:24,28.43,8.13,5.16
15/02/2026 6:27,30.19,7.77,5.12
15/02/2026 6:30,28.73,7.1,6.08
15/02/2026 6:33,28.84,8.2,7.55
15/02/2026 6:36,28.54,8.37,7.41
15/02/2026 6:39,29.43,8.54,5.27
15/02/2026 6:42,27.33,7.1,7.15
15/02/2026 6:45,29.23,8,6.2
15/02/2026 6:48,30.93,7.17,7.73
15/02/2026 6:51,31.63,7.19,6.16
15/02/2026 6:54,30.03,7.8,5.17
15/02/2026 6:57,29.75,7.02,6.55
15/02/2026 7:00,27.22,7.13,5.26
15/02/2026 7:03,29.73,8.05,6.03
15/02/2026 7:06,28.86,9,7.52
15/02/2026 7:09,30.66,7.56,7.73
15/02/2026 7:12,28.35,8.42,5.95
15/02/2026 7:15,30.21,8.01,4.67
15/02/2026 7:18,28.37,7.84,7.99
15/02/2026 7:21,29.5,7.32,6.31
15/02/2026 7:24,28.65,7.2,5.21
15/02/2026 7:27,29.66,7.94,5.87
15/02/2026 7:30,28.59,7.77,5.72
15/02/2026 7:33,29.51,8.38,6.95
15/02/2026 7:36,28.09,7.44,6.57
15/02/2026 7:39,28.74,7.94,5.6
15/02/2026 7:42,30.21,7.72,5.53
15/02/2026 7:45,31.77,7.26,7.58
15/02/2026 7:48,29.56,8.48,5.65
15/02/2026 7:51,29.49,7.56,7.02
15/02/2026 7:54,26.98,7.36,5.31
15/02/2026 7:57,33.04,7.41,5.65
15/02/2026 8:00,29.91,7.93,7.75
15/02/2026 8:03,29.58,7.67,5.32
15/02/2026 8:06,28.79,8.2,6.08
15/02/2026 8:09,30.67,6.58,6.71
15/02/2026 8:12,28.94,7.43,5.08
15/02/2026 8:15,28.05,7.7,7.12
15/02/2026 8:18,28.57,8.1,6.71
15/02/2026 8:21,29.23,7.11,7.14
15/02/2026 8:24,28.03,7.95,5.9
15/02/2026 8:27,29.64,7.26,6.51
15/02/2026 8:30,30.86,8.26,5.03
15/02/2026 8:33,29.68,7.54,7.06
15/02/2026 8:36,28.62,7.84,5.31
15/02/2026 8:39,28.19,7.63,6.12
15/02/2026 8:42,29.62,8.46,5.13
15/02/2026 8:45,30.06,7.8,7.08
15/02/2026 8:48,29.92,7.08,6.91
15/02/2026 8:51,29.7,7.88,6.37
15/02/2026 8:54,29.1,7.82,6.9
15/02/2026 8:57,32.03,7.84,5.51
15/02/2026 9:00,29.17,7.7,7.83
15/02/2026 9:03,30.59,8.15,7.5
15/02/2026 9:06,28.15,7.13,4.18
15/02/2026 9:09,28.9,7.73,7.14
15/02/2026 9:12,28.86,8.01,9.72
15/02/2026 9:15,30.94,8.07,5.39
15/02/2026 9:18,29.51,8.64,5.18
15/02/2026 9:21,28.54,7.23,6.09
15/02/2026 9:24,31.4,7.97,6.69
15/02/2026 9:27,30.54,7.49,5.2
15/02/2026 9:30,29.12,8.2,6.58
15/02/2026 9:33,32.48,7.29,6.24
15/02/2026 9:36,29.16,8.48,6.42
15/02/2026 9:39,29.01,9.09,5.19
15/02/2026 9:42,28.45,8.12,7.39
15/02/2026 9:45,29.34,7.38,6.34
15/02/2026 9:48,29.65,8.78,6.42
15/02/2026 9:51,29.36,7.96,7.87
15/02/2026 9:54,29.14,7.29,7.22
15/02/2026 9:57,28.69,7.69,6.31
15/02/2026 10:00,30.58,7.52,7.51
15/02/2026 10:03,30.59,7.96,4.35
15/02/2026 10:06,29.69,9.05,3.59
15/02/2026 10:09,30.13,6.93,7.2
15/02/2026 10:12,30.73,8.25,6.49
15/02/2026 10:15,28.48,7.31,5.13
15/02/2026 10:18,28.38,7.65,6.41
15/02/2026 10:21,28.6,7.57,7.99
15/02/2026 10:24,31.02,8.32,9.04
15/02/2026 10:27,29.77,7.75,6.44
15/02/2026 10:30,28.22,7.41,9.36
15/02/2026 10:33,30.2,8.5,5.42
15/02/2026 10:36,28.15,7.6,6.8
15/02/2026 10:39,28.08,7.32,7.39
15/02/2026 10:42,30.9,8.25,6.35
15/02/2026 10:45,29.06,7.63,5.95
15/02/2026 10:48,29.68,6.72,7.79
15/02/2026 10:51,29.45,7.82,3.51
15/02/2026 10:54,29.94,7.24,6.78
